1050564115 function calls (1050563297 primitive calls) in 3148.538 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
        6    0.000    0.000    0.000    0.000 opcode.py:35(jrel_op)
        6    0.000    0.000    0.000    0.000 opcode.py:39(jabs_op)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 os.py:470(__setitem__)
        1    0.000    0.000    0.000    0.000 pickle.py:1261(_EmptyClass)
        1    0.000    0.000    0.000    0.000 pickle.py:171(Pickler)
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:58(PickleError)
        1    0.000    0.000    0.000    0.000 pickle.py:62(PicklingError)
        1    0.000    0.000    0.000    0.000 pickle.py:69(UnpicklingError)
        1    0.000    0.000    0.000    0.000 pickle.py:82(_Stop)
        1    0.000    0.000    0.000    0.000 pickle.py:827(Unpickler)
      100    0.000    0.000    0.001    0.000 posixpath.py:118(dirname)
      100    0.001    0.000    0.001    0.000 posixpath.py:312(normpath)
      100    0.001    0.000    0.003    0.000 posixpath.py:341(abspath)
        1    0.000    0.000    0.000    0.000 posixpath.py:43(normcase)
      100    0.000    0.000    0.000    0.000 posixpath.py:51(isabs)
      101    0.000    0.000    0.000    0.000 posixpath.py:60(join)
        1    0.000    0.000    0.000    0.000 pp.py:127(_Worker)
        8    0.000    0.000    0.208    0.026 pp.py:134(__init__)
        8    0.000    0.000    0.208    0.026 pp.py:140(start)
        1    0.000    0.000    0.000    0.000 pp.py:174(_RWorker)
        1    0.000    0.000    0.000    0.000 pp.py:224(_Statistics)
        1    0.000    0.000    0.000    0.000 pp.py:228(__init__)
        1    0.000    0.000    0.000    0.000 pp.py:236(Template)
        1    0.000    0.000    0.000    0.000 pp.py:273(Server)
        1    0.000    0.000    0.209    0.209 pp.py:280(__init__)
        1    0.002    0.002    0.029    0.029 pp.py:31(<module>)
        1    0.000    0.000    0.000    0.000 pp.py:486(get_ncpus)
        1    0.000    0.000    0.209    0.209 pp.py:490(set_ncpus)
        1    0.000    0.000    0.000    0.000 pp.py:603(__connect)
